ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72
Table Number,490110446,489884111,489457635,489672109,488971242,489254625,488879114,489040846,488975321,488805223,488553096,488619622,488521575,488438398,488319897,488032029,487940879,487600598,487420404,487820541,487504595,487415329,487501220,487457382,487368222,487334270,486911772,487079534,486357111,486246019,486281543,486070683,485539344,485798012,484606827,485185231,483967058,484682575,484435490,484078046,483352966,482707285,481212678,480162112,479677325,475857014,474045761,473319518,473890082,468164131,466086694,466081205,466083684,466084384,465621249,465731184,465664137,465664095,465664206,465664286,465668656,465435499,463714023,444471586,396307534,381826421,381777020,374138794,358827793,356959263,348302073,322726720
Move,['61'],['9'],['8'],['19'],['27'],['10'],['15'],['58'],['5'],['26'],['30'],['48'],['26'],['36'],['18'],['16'],['30'],['73'],['24'],['35'],['45'],['51'],['57'],['22'],['36'],['36'],['102'],['82'],['51'],['94'],['47'],['111'],['28'],['93'],['21'],['59'],['21'],['96'],['55'],['80'],['93'],['121'],['36'],['19'],['82'],['10'],['67'],['36'],['9'],['55'],['42'],['48'],['49'],['46'],['70'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['57'],['457'],['768'],['1198'],['1384'],['2010'],['1473'],['2536'],['1182']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,Real-time • Normal speed (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only
Language,Français,English,Deutsch,English,English,English,English,English,English,English,English,English,Français,Français,English,Français,English,English,English,Deutsch,English,Français,Français,Français,English,English,Français,English,English,Deutsch,English,Français,English,English,Deutsch,English,Français,English,English,English,Français,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,Français,English,English,English,English,English,Français,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Paques', 'Mouton', 'viande', 'Pr\\u00e9-sal\\u00e9', 'Pascal', 'Pascal']","['Juicy', 'fuzzy', 'Summer', 'booty', 'Georgia', 'georgia']","['Unzertrennliche', 'Schuhe', 'Doppel', 'Zwei', 'Ehe.']","['Ouch', 'Police', 'Ray', 'Singer', 'Nettle', 'Hornet']","['quest', 'supercluster', 'Cosmos', 'Type-cD', 'Space', 'Cosmo']","['K\\u00f8ge', 'Kystlinje', 'Vand', 'Omkranset']","['Blue', 'Cherub', 'Castiel', 'Celestial']","['Malt-o', 'oat', 'family', 'supper', 'Millstone', 'Result']","['Moresby', 'fortified', 'Wine', 'wine']","['Gastric', 'Tattoo', 'Saltines', 'Shirt', 'roll']","['Green', 'Life', 'Tarzan', 'Congo', 'Amazon', 'Wilderness']","['recluse', 'Crab', 'druid', 'selfsuffient', 'Alone', 'Lonely']","['C\\u00e2ble', 'Filin', 'Ficelle', 'Sauter']","['ampoule', 'lumi\\u00e8re', 'Courant', 'Panneaux-solaires']","['Babe', 'Rooster', 'Tiny', 'Avian', 'egg', 'yellow']","['Vieille', 'Crochu', 'Sort', 'Femme']","['Underage', 'moll', 'Child', 'young', 'Child', 'younger']","['Airplane', 'Takeoff', 'Supersonic', 'Concord', 'aerial', 'Expedia']","['papa', 'equine', 'Muffin', 'Strong', 'beam', 'finder']","['Elefant', 'Adjektiv', 'Universum', 'Oma']","['Xing', '\\u304d\\u3061\\u3087\\u3046\\u3072\\u3093', '\\u30b4\\u30f3\\u30b4\\u30f3', '\\u304a\\u3069\\u308b']","['Mbappe', 'Grade', 'haddock', 'Haddock']","['DGSE', '007', 'mouchard', 'Taupe', 'Bond', 'Bond']","['Viande', 'Mechoui', 'pascal', 'Silence']","['Barley', 'Sand', 'classification', 'Whole', 'wheat', 'wheat']","['Ruler', 'Coronation', 'jack', 'queen', 'Chess', 'Stephen']","['Chant', 'France', 'Cot', 'Matin', 'poulailler', 'Vin']","['History', 'Blathers', 'preservation', 'collection', 'Mummy', 'Louvre']","['sesame', 'Kernel', 'embryo', 'Semen', 'Growth']","['Kamin', 'Kochstelle', 'W\\u00e4rme', 'H\\u00e4nsel', 'W\\u00e4rmeerzeuger', 'W\\u00e4rmeerzeuger']","['boar', 'crimea', 'World', 'Conflict']","['Speedy', 'Rat', 'Clic', 'Jerry', 'Clavier', 'Petite']","['batman', 'lighthouse', 'lighthouse', 'Lighthouse']","['luggage', 'Suitcase', 'Eyes', 'airport', 'Travel', 'travel']","['Wasser', 'Eimer', 'Wasservorrat', 'Tief']","['Castle', 'lair', 'Dragon', 'Mancave']","['Pantoufles', 'Sous-v\\u00eatements', 'Pied', 'V\\u00eatements']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Parcel', 'cube', 'Cube', 'cube', 'Container', 'Container']","['pantin', 'Automates', 'Geppetto', 'Animer', 'Guignol', 'ficelles']","['Knitted', 'foot', 'Christmas', 'Ankle', 'Stinky', 'Puppet']","['Brief', 'Wine', 'Carrying', 'storage', 'Suit', 'Suit']","['Smoke', 'House', 'Earth', 'wind', 'Works', 'Pookie']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Newton', 'lab', 'biology', 'biology']","['Sp\\u00e4tn\\u00e9', 'Obraz', 'Macocha', 'Timberlake']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['Wind', 'Regen', 'Weer', 'Bliksem']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['Semolina', 'polished', 'carbohydrate', 'African', 'Wheat', 'wheat']","['toilet', 'Orville', 'Quack', 'quack']","['Sky', 'Nighttime', 'Hollywood', 'Gleaming']","['reveal', 'tv', 'Agricultural', 'Pony']","['Train\\u00e9', 'Pied', 'bagnard', 'attache']","['Engvall', 'Money', 'Ohnomr', 'Friendless', 'TEd', 'Gates']","['Volcan', 'Feu', 'vaisselle', 'linge', 'Vaisselle', 'Linge']","['Sewing', 'Join', 'Clothes', 'Clothing', 'Edge', 'Edge']"
Mystery Word,Agneau,Peach,Paar,Sting,Galaxy,Bay,Angel,Meal,Port,Sleeve,Jungle,Hermit,Corde,\u00c9lectricit\u00e9,Chick,Sorci\u00e8re,Minor,Flight,Stud,Gro\u00df,Jewel,Capitaine,Espion,Agneau,Grain,King,Coq,Museum,Seed,Ofen,War,Souris,Beacon,Baggage,Brunnen,Dungeon,Chaussette,Quarter,Root,Box,Marionnette,Sock,Case,Fire,Guard,Science,Mirror,Puder,Dress,Storm,Club,Coin,Bar,Stone,Patron,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Vegetable,Couscous,Duck,Star,Show,Boulet,Bill,Lave,Seam
Guess,Merguez,,Paar,Sting,galaxy,Bugt,angel,meal,Port,Sleeve,Tree,,Chaine,\u00c9lectricit\u00e9,Chick,Sorci\u00e8re,Minor,Flying,Stud,Alt,jewelry,Capitaine,Agent,Agneau,Grain,King,Coq,museum,Seed,Ofen,War,Souris,superhero,Baggage,,Dungeon,Chaussettes,mix,,,Marionette,sock,case,iron,guard,Science,Mirror,Russ,,Onweer,Club,Coin,Bar,Stone,Coin,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,Vegetable,fufu,duck,Star,show,Boulet,Wealth,Lave,Zip
